,00Hexp_c=0_p=1_i=5_a.png,01Hexp_c=0_p=0_i=2_c.png,02Hexp_c=14_p=28_i=3_b.png,03Hexp_c=14_p=28_i=1_a.png,04Hexp_c=14_p=29_i=2_a.png,05Hexp_c=6_p=13_i=4_a.png,06Hexp_c=14_p=28_i=5_b.png,07Hexp_c=15_p=30_i=2_a.png,08Hexp_c=14_p=29_i=4_a.png,09Hexp_c=6_p=12_i=5_a.png,10Hexp_c=8_p=16_i=1_a.png,11Hexp_c=8_p=16_i=4_c.png,12Hexp_c=0_p=0_i=3_a.png,13Hexp_c=14_p=29_i=4_b.png,14Hexp_c=15_p=30_i=5_b.png,15Hexp_c=8_p=16_i=2_c.png,16Hexp_c=6_p=12_i=1_b.png,17Hexp_c=8_p=16_i=5_a.png,18Hexp_c=8_p=17_i=3_a.png,19Hexp_c=14_p=28_i=2_b.png,20Hexp_c=15_p=31_i=1_a.png,21Hexp_c=8_p=16_i=4_d.png,22Hexp_c=6_p=12_i=3_b.png,23Hexp_c=8_p=16_i=4_b.png,24Hexp_c=8_p=16_i=4_a.png,25Hexp_c=8_p=17_i=5_a.png,26Hexp_c=8_p=17_i=4_a.png,27Hexp_c=0_p=0_i=4_a.png,28Hexp_c=8_p=16_i=2_a.png,29Hexp_c=0_p=0_i=2_a.png,30Hexp_c=0_p=1_i=3_c.png,31Hexp_c=8_p=17_i=1_b.png,32Hexp_c=15_p=30_i=4_a.png,33Hexp_c=15_p=31_i=3_a.png,34Hexp_c=15_p=31_i=2_c.png,35Hexp_c=6_p=13_i=3_a.png,36Hexp_c=15_p=30_i=5_a.png,37Hexp_c=6_p=12_i=3_a.png,38Hexp_c=6_p=12_i=2_a.png,39Hexp_c=6_p=12_i=5_b.png,40Hexp_c=8_p=17_i=3_b.png,41Hexp_c=0_p=0_i=4_b.png,42Hexp_c=0_p=0_i=5_c.png,43Hexp_c=6_p=12_i=1_a.png,44Hexp_c=0_p=1_i=2_a.png,45Hexp_c=8_p=16_i=1_b.png,46Hexp_c=6_p=12_i=5_c.png,47Hexp_c=8_p=16_i=5_c.png,48Hexp_c=15_p=31_i=2_a.png,49Hexp_c=15_p=31_i=4_a.png,50Hexp_c=8_p=16_i=5_d.png,51Hexp_c=0_p=1_i=4_d.png,52Hexp_c=0_p=1_i=2_c.png,53Hexp_c=0_p=1_i=3_b.png,54Hexp_c=14_p=28_i=2_a.png,55Hexp_c=15_p=31_i=2_b.png,56Hexp_c=0_p=0_i=1_b.png,57Hexp_c=0_p=0_i=2_b.png,58Hexp_c=0_p=0_i=2_d.png,59Hexp_c=15_p=30_i=4_b.png,60Hexp_c=8_p=17_i=2_a.png,61Hexp_c=14_p=28_i=3_a.png,62Hexp_c=8_p=16_i=3_a.png,63Hexp_c=0_p=0_i=5_a.png,64Hexp_c=14_p=29_i=1_a.png,65Hexp_c=6_p=13_i=5_a.png,66Hexp_c=0_p=1_i=1_b.png,67Hexp_c=0_p=1_i=5_c.png,68Hexp_c=0_p=0_i=5_b.png,69Hexp_c=14_p=29_i=5_a.png,70Hexp_c=15_p=31_i=5_b.png,71Hexp_c=8_p=17_i=5_b.png,72Hexp_c=15_p=30_i=3_b.png,73Hexp_c=8_p=17_i=2_b.png,74Hexp_c=8_p=17_i=1_a.png,75Hexp_c=0_p=1_i=4_c.png,76Hexp_c=0_p=1_i=2_b.png,77Hexp_c=0_p=0_i=3_c.png,78Hexp_c=6_p=13_i=1_b.png,79Hexp_c=15_p=30_i=1_a.png,80Hexp_c=6_p=13_i=1_a.png,81Hexp_c=15_p=31_i=4_b.png,82Hexp_c=0_p=0_i=1_a.png,83Hexp_c=6_p=13_i=2_a.png,84Hexp_c=8_p=16_i=3_b.png,85Hexp_c=6_p=12_i=4_a.png,86Hexp_c=0_p=1_i=1_c.png,87Hexp_c=14_p=28_i=5_a.png,88Hexp_c=0_p=0_i=3_b.png,89Hexp_c=0_p=1_i=4_a.png,90Hexp_c=0_p=1_i=5_b.png,91Hexp_c=14_p=28_i=3_c.png,92Hexp_c=14_p=28_i=4_a.png,93Hexp_c=15_p=30_i=3_a.png,94Hexp_c=15_p=30_i=5_c.png,95Hexp_c=6_p=12_i=2_b.png,96Hexp_c=14_p=29_i=3_a.png
0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0
2,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1
3,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0
4,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1
6,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0
7,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1
8,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1
9,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0
10,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1
