,00Hexp_c=14_p=29_i=1_a.png,01Hexp_c=0_p=0_i=3_a.png,02Hexp_c=15_p=30_i=1_b.png,03Hexp_c=14_p=29_i=3_b.png,04Hexp_c=15_p=30_i=5_b.png,05Hexp_c=15_p=30_i=4_a.png,06Hexp_c=15_p=31_i=4_a.png,07Hexp_c=15_p=31_i=1_b.png,08Hexp_c=0_p=0_i=4_a.png,09Hexp_c=15_p=31_i=2_a.png,10Hexp_c=6_p=12_i=4_a.png,11Hexp_c=8_p=16_i=5_a.png,12Hexp_c=15_p=30_i=1_a.png,13Hexp_c=15_p=31_i=3_b.png,14Hexp_c=14_p=28_i=2_b.png,15Hexp_c=0_p=1_i=5_b.png,16Hexp_c=8_p=16_i=3_b.png,17Hexp_c=6_p=12_i=5_b.png,18Hexp_c=0_p=1_i=3_b.png,19Hexp_c=6_p=12_i=3_a.png,20Hexp_c=14_p=29_i=2_a.png,21Hexp_c=0_p=0_i=2_c.png,22Hexp_c=15_p=30_i=2_a.png,23Hexp_c=8_p=16_i=4_a.png,24Hexp_c=8_p=17_i=2_a.png,25Hexp_c=8_p=16_i=1_a.png,26Hexp_c=8_p=17_i=5_a.png,27Hexp_c=6_p=13_i=5_a.png,28Hexp_c=0_p=0_i=2_b.png,29Hexp_c=8_p=16_i=3_a.png,30Hexp_c=6_p=12_i=4_b.png,31Hexp_c=0_p=1_i=4_a.png,32Hexp_c=8_p=17_i=4_a.png,33Hexp_c=6_p=13_i=3_a.png,34Hexp_c=0_p=0_i=2_a.png,35Hexp_c=0_p=1_i=1_b.png,36Hexp_c=14_p=28_i=3_a.png,37Hexp_c=14_p=28_i=5_a.png,38Hexp_c=8_p=17_i=3_a.png,39Hexp_c=6_p=12_i=1_a.png,40Hexp_c=8_p=17_i=1_b.png,41Hexp_c=15_p=31_i=1_a.png,42Hexp_c=0_p=1_i=2_b.png,43Hexp_c=0_p=0_i=3_b.png,44Hexp_c=0_p=0_i=5_a.png,45Hexp_c=6_p=13_i=1_a.png,46Hexp_c=8_p=17_i=1_a.png,47Hexp_c=6_p=13_i=3_b.png,48Hexp_c=14_p=29_i=5_a.png,49Hexp_c=8_p=17_i=3_b.png,50Hexp_c=6_p=12_i=5_a.png,51Hexp_c=0_p=1_i=1_c.png,52Hexp_c=0_p=1_i=1_a.png,53Hexp_c=6_p=13_i=4_a.png,54Hexp_c=15_p=30_i=3_a.png,55Hexp_c=8_p=16_i=2_a.png,56Hexp_c=0_p=0_i=1_a.png,57Hexp_c=15_p=31_i=5_b.png,58Hexp_c=15_p=30_i=3_b.png,59Hexp_c=8_p=16_i=4_c.png,60Hexp_c=14_p=28_i=4_a.png,61Hexp_c=14_p=29_i=4_a.png,62Hexp_c=0_p=0_i=4_b.png,63Hexp_c=0_p=1_i=5_a.png,64Hexp_c=6_p=12_i=3_b.png,65Hexp_c=6_p=13_i=2_a.png,66Hexp_c=6_p=12_i=2_a.png,67Hexp_c=14_p=29_i=3_a.png,68Hexp_c=14_p=28_i=1_a.png,69Hexp_c=6_p=13_i=5_c.png,70Hexp_c=15_p=31_i=2_b.png,71Hexp_c=0_p=1_i=1_d.png,72Hexp_c=15_p=30_i=5_a.png,73Hexp_c=0_p=1_i=4_b.png
0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
6,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
7,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
